Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
07/Oct/2019 01:17:02,RockBLOCK 15994,MO,32342e352c2038353436312c20313431332c202033372e3134342c2d3131352e3236322c20313530312c302c30,"37.15615,-115.2347","24.5, 85461, 1413,  37.144,-115.262, 1501,0,0",45,1
07/Oct/2019 00:44:43,RockBLOCK 15994,MO,32352e322c2038353436302c20313431342c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","25.2, 85460, 1414,  37.144,-115.262, 1500,0,0",45,1
07/Oct/2019 00:10:45,RockBLOCK 15994,MO,32362e302c2038353437362c20313431322c202033372e3134342c2d3131352e3236322c20313439382c302c30,"37.13645,-115.2155","26.0, 85476, 1412,  37.144,-115.262, 1498,0,0",45,1
06/Oct/2019 23:38:31,RockBLOCK 15994,MO,32372e312c2038353530322c20313430392c202033372e3134342c2d3131352e3236322c20313439382c302c30,"37.1849,-115.2347","27.1, 85502, 1409,  37.144,-115.262, 1498,0,0",45,1
06/Oct/2019 23:06:15,RockBLOCK 15994,MO,32372e342c2038353532352c20313430372c202033372e3134342c2d3131352e3236322c20313439392c302c30,"37.14686666666667,-115.27545","27.4, 85525, 1407,  37.144,-115.262, 1499,0,0",45,1
06/Oct/2019 22:29:23,RockBLOCK 15994,MO,32372e372c2038353535352c20313430342c202033372e3134342c2d3131352e3236322c20313439392c302c30,"37.18598333333333,-115.33545","27.7, 85555, 1404,  37.144,-115.262, 1499,0,0",45,1
06/Oct/2019 21:57:09,RockBLOCK 15994,MO,32372e382c2038353539312c20313430312c202033372e3134342c2d3131352e3236322c20313439382c302c30,"37.13645,-115.2155","27.8, 85591, 1401,  37.144,-115.262, 1498,0,0",45,1
06/Oct/2019 21:24:52,RockBLOCK 15994,MO,32382e312c2038353632302c20313339382c202033372e3134342c2d3131352e3236322c20313439372c302c30,"37.15615,-115.2347","28.1, 85620, 1398,  37.144,-115.262, 1497,0,0",45,1
06/Oct/2019 20:52:11,RockBLOCK 15994,MO,32382e302c2038353636312c20313339342c202033372e3134342c2d3131352e3236322c20313439362c302c30,"37.14686666666667,-115.27545","28.0, 85661, 1394,  37.144,-115.262, 1496,0,0",45,1
06/Oct/2019 20:15:37,RockBLOCK 15994,MO,32372e392c2038353731372c20313338392c202033372e3134342c2d3131352e3236322c20313439362c302c30,"37.14573333333333,-115.17473333333334","27.9, 85717, 1389,  37.144,-115.262, 1496,0,0",45,1
06/Oct/2019 19:43:19,RockBLOCK 15994,MO,32372e382c2038353738312c20313338332c202033372e3134342c2d3131352e3236322c20313439392c302c30,"37.2229,-115.19391666666667","27.8, 85781, 1383,  37.144,-115.262, 1499,0,0",45,1
06/Oct/2019 19:11:04,RockBLOCK 15994,MO,32372e322c2038353739372c20313338312c202033372e3134342c2d3131352e3236322c20313530312c302c30,"37.14686666666667,-115.27545","27.2, 85797, 1381,  37.144,-115.262, 1501,0,0",45,1
06/Oct/2019 18:38:52,RockBLOCK 15994,MO,32362e332c2038353832342c20313337392c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","26.3, 85824, 1379,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 18:06:35,RockBLOCK 15994,MO,32352e322c2038353832322c20313337392c202033372e3134342c2d3131352e3236322c20313530312c302c30,"37.14573333333333,-115.17473333333334","25.2, 85822, 1379,  37.144,-115.262, 1501,0,0",45,1
06/Oct/2019 17:34:21,RockBLOCK 15994,MO,32342e342c2038353833332c20313337382c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.15615,-115.2347","24.4, 85833, 1378,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 17:02:10,RockBLOCK 15994,MO,32332e362c2038353833332c20313337382c202033372e3134342c2d3131352e3236322c20313439342c302c30,"37.127183333333335,-115.25623333333333","23.6, 85833, 1378,  37.144,-115.262, 1494,0,0",45,1
06/Oct/2019 16:29:54,RockBLOCK 15994,MO,32322e392c2038353830392c20313338302c202033372e3134342c2d3131352e3236322c20313439322c302c30,"37.17665,-115.37616666666666","22.9, 85809, 1380,  37.144,-115.262, 1492,0,0",45,1
