Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
27/Oct/2019 00:13:36,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136352c2d3131392e3338392c20202035372c3234352c30,"36.1075,-119.40858333333334","-131.7,108524, -583,  36.165,-119.389,   57,245,0",49,1
26/Oct/2019 23:54:50,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136372c2d3131392e3338392c20202035382c3234352c30,"36.1656,-119.39168333333333","-131.7,108524, -583,  36.167,-119.389,   58,245,0",49,1
26/Oct/2019 23:40:40,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136372c2d3131392e3338392c20202036342c3234352c30,"36.20516666666666,-119.3529","-131.7,108524, -583,  36.167,-119.389,   64,245,0",49,1
26/Oct/2019 23:13:30,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136332c2d3131392e3430322c20202035362c3234352c30,"36.1656,-119.39168333333333","-131.7,108524, -583,  36.163,-119.402,   56,245,0",49,1
26/Oct/2019 22:51:16,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136322c2d3131392e3338352c20202036362c3234352c30,"36.16395,-120.4678","-131.7,108524, -583,  36.162,-119.385,   66,245,0",49,1
26/Oct/2019 22:42:49,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136372c2d3131392e3338392c20202035322c3234352c30,"36.16158333333333,-118.01751666666667","-131.7,108524, -583,  36.167,-119.389,   52,245,0",49,1
26/Oct/2019 22:33:07,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136372c2d3131392e3339372c20202036332c3234352c30,"36.1866,-119.3311","-131.7,108524, -583,  36.167,-119.397,   63,245,0",49,1
26/Oct/2019 22:27:56,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136342c2d3131392e3338352c20202036382c3234352c30,"36.14706666666667,-119.36985","-131.7,108524, -583,  36.164,-119.385,   68,245,0",49,1
26/Oct/2019 22:13:46,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136352c2d3131392e3338342c20202036372c3234352c30,"36.20516666666666,-119.3529","-131.7,108524, -583,  36.165,-119.384,   67,245,0",49,1
26/Oct/2019 22:10:50,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3136372c2d3131392e3338342c20202037322c3234352c30,"36.1656,-119.39168333333333","-131.7,108524, -583,  36.167,-119.384,   72,245,0",49,1
26/Oct/2019 21:52:05,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3135362c2d3131392e3432352c20202037352c3234352c30,"36.115566666666666,-119.46915","-131.7,108524, -583,  36.156,-119.425,   75,245,0",49,1
26/Oct/2019 21:46:55,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3135362c2d3131392e3432352c20202037362c3234352c30,"36.15515,-119.43043333333334","-131.7,108524, -583,  36.156,-119.425,   76,245,0",49,1
26/Oct/2019 21:43:19,Cy-4,MO,2d3133312e372c3130383532342c202d3538332c202033362e3135342c2d3131392e3432352c20202037302c3234352c30,"36.1656,-119.39168333333333","-131.7,108524, -583,  36.154,-119.425,   70,245,0",49,1
26/Oct/2019 21:38:01,Cy-4,MO,32352e332c3130303031372c20203131302c202033362e3135372c2d3131392e3432312c20202037382c3234352c30,"36.15515,-119.43043333333334","25.3,100017,  110,  36.157,-119.421,   78,245,0",47,1
26/Oct/2019 21:34:16,Cy-4,MO,32342e392c3130303031352c20203131302c202033362e3135372c2d3131392e3432322c20202038302c3234352c30,"36.15515,-119.43043333333334","24.9,100015,  110,  36.157,-119.422,   80,245,0",47,1
26/Oct/2019 21:32:05,Cy-4,MO,32342e362c2039393134372c20203138332c202033362e3135372c2d3131392e3432332c20203134382c3234352c30,"36.184266666666666,-119.43043333333334","24.6, 99147,  183,  36.157,-119.423,  148,245,0",47,1
26/Oct/2019 21:29:55,Cy-4,MO,32342e302c2039393535372c20203134382c202033362e3135382c2d3131392e3432342c20203130382c3234352c30,"36.1656,-119.39168333333333","24.0, 99557,  148,  36.158,-119.424,  108,245,0",47,1
26/Oct/2019 21:27:44,Cy-4,MO,32332e352c3130303031302c20203131302c202033362e3135392c2d3131392e3432352c20202036352c3234352c30,"36.194716666666665,-119.39168333333333","23.5,100010,  110,  36.159,-119.425,   65,245,0",47,1
26/Oct/2019 21:25:29,Cy-4,MO,32332e342c3130303033312c20203130382c202033362e3135392c2d3131392e3432362c20202039392c3234352c30,"36.1656,-119.39168333333333","23.4,100031,  108,  36.159,-119.426,   99,245,0",47,1
26/Oct/2019 21:23:19,Cy-4,MO,32332e302c2039393330372c20203136392c202033362e3136312c2d3131392e3432382c20202037362c3234352c30,"36.15273333333333,-119.52975","23.0, 99307,  169,  36.161,-119.428,   76,245,0",47,1
26/Oct/2019 21:21:05,Cy-4,MO,32322e372c3130303032352c20203130392c202033362e3136332c2d3131392e3433302c20202037302c3234352c30,"36.1447,-119.46915","22.7,100025,  109,  36.163,-119.430,   70,245,0",47,1
26/Oct/2019 21:18:53,Cy-4,MO,32312e392c2039393931322c20203131382c202033362e3136342c2d3131392e3433312c20202038302c3234352c30,"36.15515,-119.43043333333334","21.9, 99912,  118,  36.164,-119.431,   80,245,0",47,1
26/Oct/2019 21:15:56,Cy-4,MO,32312e362c3130303031312c20203131302c202033362e3136372c2d3131392e3433322c20203133342c3234352c30,"36.126016666666665,-119.43043333333334","21.6,100011,  110,  36.167,-119.432,  134,245,0",47,1
26/Oct/2019 21:13:41,Cy-4,MO,32312e322c2039373533322c20203332312c202033362e3136382c2d3131392e3433342c20203337312c3234352c30,"36.1051,-119.50783333333334","21.2, 97532,  321,  36.168,-119.434,  371,245,0",47,1
26/Oct/2019 21:11:35,Cy-4,MO,32302e372c2039353134332c20203532382c202033362e3136372c2d3131392e3433362c20203539382c3234352c30,"36.16321666666666,-119.49103333333333","20.7, 95143,  528,  36.167,-119.436,  598,245,0",47,1
26/Oct/2019 21:09:23,Cy-4,MO,32302e332c2039323739392c20203733352c202033362e3136372c2d3131392e3433372c20203830312c3234352c30,"36.15515,-119.43043333333334","20.3, 92799,  735,  36.167,-119.437,  801,245,0",47,1
26/Oct/2019 21:07:12,Cy-4,MO,31392e392c2039303531332c20203934322c202033362e3136382c2d3131392e3433392c20203939302c3234352c30,"36.15515,-119.43043333333334","19.9, 90513,  942,  36.168,-119.439,  990,245,0",47,1
26/Oct/2019 21:05:00,Cy-4,MO,31392e352c2038383234382c20313135312c202033362e3137302c2d3131392e3434312c20313230392c3234352c30,"36.19233333333333,-119.49103333333333","19.5, 88248, 1151,  36.170,-119.441, 1209,245,0",47,1
26/Oct/2019 21:02:50,Cy-4,MO,31392e302c2038363136382c20313334362c202033362e3137372c2d3131392e3434352c20313430312c3234352c30,"36.15273333333333,-119.52975","19.0, 86168, 1346,  36.177,-119.445, 1401,245,0",47,1
