id,iridium_latitude,iridium_longitude,iridium_cep,raw_data,Human Time,altitude_barometer,altitude_gps,ballastPercent,ballastRemaining,ballast_time,batteryPercent,flightTime,imei,internal_temp,latitude,longitude,mission,momsn,pressure,timestamp,transmit_time,updated_at
18532,36.8708,-121.4487,5,33302e372c3130303637382c20202035342c202033362e3834392c2d3132312e3433332c20202037342c3338,2019-05-18 09:32:21 -0700,54,74,-Inf,-38,38,,141,300234067168910,30.7,36.849,-121.433,61,70,100678,Sat May 18 2019 09:32:21 GMT-0700 (Pacific Daylight Time),1558197141000,2019-05-18 09:32:27 -0700
18533,36.8235,-121.4253,4,33302e392c3130303138372c20202039352c202033362e3834382c2d3132312e3433322c20203130362c3338,2019-05-18 09:37:09 -0700,95,106,-Inf,-38,38,,429,300234067168910,30.9,36.848,-121.432,61,71,100187,Sat May 18 2019 09:37:09 GMT-0700 (Pacific Daylight Time),1558197429000,2019-05-18 09:37:14 -0700
18534,36.8708,-121.4487,3,33302e392c2039393335372c20203136352c202033362e3834362c2d3132312e3432342c20203231322c3534,2019-05-18 09:42:18 -0700,165,212,-Inf,-54,54,,738,300234067168910,30.9,36.846,-121.424,61,72,99357,Sat May 18 2019 09:42:18 GMT-0700 (Pacific Daylight Time),1558197738000,2019-05-18 09:42:23 -0700
18535,36.8235,-121.4253,5,33302e382c2039393332342c20203136382c202033362e3834322c2d3132312e3431362c20203138382c3534,2019-05-18 09:47:13 -0700,168,188,-Inf,-54,54,,1033,300234067168910,30.8,36.842,-121.416,61,73,99324,Sat May 18 2019 09:47:13 GMT-0700 (Pacific Daylight Time),1558198033000,2019-05-18 09:47:19 -0700
18536,36.8347,-121.387,2,33302e392c2039393239392c20203137302c202033362e3833392c2d3132312e3431322c20203138392c3534,2019-05-18 09:52:09 -0700,170,189,-Inf,-54,54,,1329,300234067168910,30.9,36.839,-121.412,61,74,99299,Sat May 18 2019 09:52:09 GMT-0700 (Pacific Daylight Time),1558198329000,2019-05-18 09:52:14 -0700
18537,36.8636,-121.387,6,33312e322c2039383239342c20203235352c202033362e3833352c2d3132312e3430362c20203237352c3730,2019-05-18 09:58:12 -0700,255,275,-Inf,-70,70,,1692,300234067168910,31.2,36.835,-121.406,61,75,98294,Sat May 18 2019 09:58:12 GMT-0700 (Pacific Daylight Time),1558198692000,2019-05-18 09:58:19 -0700
18538,36.8347,-121.387,2,33312e352c2039383439362c20203233382c202033362e3833322c2d3132312e3339372c20203235372c3730,2019-05-18 10:03:05 -0700,238,257,-Inf,-70,70,,1985,300234067168910,31.5,36.832,-121.397,61,76,98496,Sat May 18 2019 10:03:05 GMT-0700 (Pacific Daylight Time),1558198985000,2019-05-18 10:03:11 -0700
18539,36.8347,-121.387,3,33312e372c2039363036342c20203434372c202033362e3833302c2d3132312e3339302c20203436302c3730,2019-05-18 10:07:55 -0700,447,460,-Inf,-70,70,,2275,300234067168910,31.7,36.83,-121.39,61,77,96064,Sat May 18 2019 10:07:55 GMT-0700 (Pacific Daylight Time),1558199275000,2019-05-18 10:07:59 -0700
18540,36.8347,-121.387,3,33312e332c2039333438352c20203637342c202033362e3833382c2d3132312e3339302c20203637392c3836,2019-05-18 10:13:05 -0700,674,679,-Inf,-86,86,,2585,300234067168910,31.3,36.838,-121.39,61,78,93485,Sat May 18 2019 10:13:05 GMT-0700 (Pacific Daylight Time),1558199585000,2019-05-18 10:13:10 -0700
18541,36.8163,-121.3637,3,33312e302c2039313730392c20203833332c202033362e3834342c2d3132312e3339322c20203831362c3836,2019-05-18 10:18:03 -0700,833,816,-Inf,-86,86,,2883,300234067168910,31,36.844,-121.392,61,79,91709,Sat May 18 2019 10:18:03 GMT-0700 (Pacific Daylight Time),1558199883000,2019-05-18 10:18:07 -0700
